University,,State,CAE-CD,CAE-2Y,CAE-R,CAE-CO,Research Center,Security as CS,CS Curr Link,Security as SE,SE Curr Link,Security as IS,IS Curr Link,Security as IT,IT Curr Link,Security as (Computer)Engineering,CE Or E Curr Site,Dedicated Degree,Dedicated Degree Link,Security Department,Security Minor,Security Minor Site,Masters Program,Masters Curr Link,GenCyber,2017 CCDC Birth,2016 CCDC Birth,2015 CCDC Birth,2014 CCDC Birth,2013 CCDC Birth,2012 CCDC BIRTH,2011 CCDC BIRTH,2010 CCDC BiRTH,2009 CCDC Birth,2008 CCDC Birth,2007 CCDC Birth,2006 CCDC Birth,2005 CCDC Birth
Auburn University,http://cyber.auburn.edu,Alabama,TRUE,FALSE,TRUE,TRUE,http://www.eng.auburn.edu/research/centers/auburn-cyber-research-center/index.html,TRUE,http://bulletin.auburn.edu/undergraduate/samuelginncollegeofengineering/departmentofcomputerscienceandsoftwareengineering/computerscience_major/,TRUE,http://www.eng.auburn.edu/comp/academics/undergraduate/software-engineering/index.html,TRUE,http://bulletin.auburn.edu/undergraduate/samuelginncollegeofengineering/departmentofcomputerscienceandsoftwareengineering/softwareengineering_major/,FALSE,,FALSE,,FALSE,,FALSE,TRUE,,TRUE,http://harbert.auburn.edu/academics/minors/information-assurance-minor.php,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jacksonville State University,http://www.jsu.edu/mcis/cisa/,Alabama,TRUE,FALSE,FALSE,FALSE,http://www.jsu.edu/mcis/cisa/,TRUE,,FALSE,,TRUE,http://www.jsu.edu/catalogue/current/arts_sciences.pdf#page=88,FALSE,,FALSE,,FALSE,,FALSE,TRUE,http://www.jsu.edu/catalogue/current/arts_sciences.pdf#page=72,TRUE,http://www.jsu.edu/graduate/programs/computer/index.html,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The University of Alabama,http://ua.edu,Alabama,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,http://cs.ua.edu/wp-content/uploads/sites/4/2015/12/CS-Flowchart-2015-SE-concentration.pdf or https://catalog.ua.edu/undergraduate/engineering/computer-science/courses/,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The University of Alabama at Birmingham,http://www.uab.edu,Alabama,FALSE,FALSE,TRUE,FALSE,http://www.uab.edu/cas/thecenter/,TRUE,http://catalog.uab.edu/undergraduate/collegeofartsciences/computerandinformationsciences/#majorstext,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,http://catalog.uab.edu/graduate/collegeofartsciences/interdisciplinaryprograms/computer-forensics-security-management/,FALSE,FALSE,,TRUE,Same as undergrad,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The University of Alabama in Huntsville,http://www.uah.edu/ccre,Alabama,TRUE,FALSE,TRUE,FALSE,http://www.uah.edu/ccre,TRUE,http://www.uah.edu/science/departments/computer-science/undergraduate-students/degree-programs,FALSE,,TRUE,http://catalog.uah.edu/undergrad/colleges-departments/business-administration/information-systems/#coursestext,FALSE,,TRUE,http://catalog.uah.edu/undergrad/course-descriptions/cpe/,FALSE,,FALSE,FALSE,,TRUE,http://www.uah.edu/science/departments/computer-science/graduate-students/graduate-degree-programs#MSCS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
University of South Alabama,http://www.soc.southalabama.edu/,Alabama,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,http://www.southalabama.edu/bulletin/current/courses/computer-science/index.html,FALSE,,TRUE,http://www.southalabama.edu/colleges/soc/ist/isc-program-requirements.html,FALSE,,FALSE,,TRUE,http://www.southalabama.edu/bulletin/current/degrees-programs/computer-sciences/cyber-assurance-bs/,FALSE,FALSE,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
University of Alaska Fairbanks,https://www.uaf.edu/,Alaska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,TRUE,http://catalog.uaf.edu/bachelors/bachelors-degree-programs/computer-information-tech-specialist/minor/,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Arizona State University,http://ia.asu.edu/,Arizona,TRUE,FALSE,TRUE,FALSE,http://ia.asu.edu/,TRUE,https://webapp4.asu.edu/programs/t5/roadmaps/ASU00/ESCSEIBS/null/ALL/2017,FALSE,,FALSE,,FALSE,,TRUE,https://webapp4.asu.edu/programs/t5/roadmaps/ASU00/ESCSEIBSE/null/ALL/2017,FALSE,,FALSE,FALSE,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"The University of Arizona, Tucson",http://iasec.eller.arizona.edu/,Arizona,TRUE,FALSE,FALSE,FALSE,https://iasec.eller.arizona.edu/,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
University of Advancing Technology,http://www.uat.edu/academics/Information_Assurance.aspx,Arizona,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,http://www.uat.edu/course-listings/network-security-degree#bachelor and http://www.uat.edu/course-listings/technology-forensics-degree#bachelor,FALSE,FALSE,,TRUE,http://www.uat.edu/course-listings/information-assurance-masters-degree#master,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
